Batch,Height,Width,Onset Prediction,Offset Prediction,Frame Prediction,Velocity Prediction
0,1,74,0.00026947915,0.00072648755,0.0031115087,3.1054688,1.0
0,1,75,0.0002913701,0.00023050673,0.004663655,3.0566406,1.0
0,1,76,0.0021405893,0.00068250194,0.012722709,2.0566406,1.8321338e-13
0,1,77,0.00069054146,0.00047285444,0.003324437,1.7597656,0.87652874
0,1,78,0.00047656128,0.00035836725,0.009196552,3.046875,1.0
0,1,79,0.0004565269,0.0003125878,0.0071768817,2.4453125,1.0
0,1,80,0.00034196206,6.402007e-05,0.00063867966,3.7070312,1.0
0,1,81,0.00031999825,6.814872e-05,0.00088649895,2.0878906,2.853914e-14
0,1,82,0.00059071044,2.6274773e-05,0.001648483,4.1367188,3.3086217e-18
0,1,83,9.6856085e-05,1.485458e-05,0.00032250723,2.2285156,1.0
0,1,84,0.00021824206,1.9679026e-05,0.00046010586,4.7382812,1.0
0,1,85,4.8704638e-05,1.6666596e-06,3.4537254e-05,5.46875,0.37079483
0,1,86,6.5028165e-05,1.2004505e-06,2.6897846e-05,2.3203125,0.0
0,1,87,5.738759e-05,1.9485221e-06,1.3846005e-05,2.8847656,1.0
0,2,0,8.203532e-06,5.244383e-07,2.4439928e-06,-0.15283203,1.0
0,2,1,4.9369887e-06,1.9792067e-06,3.6976387e-06,-0.39672852,0.9999999
0,2,2,2.6480842e-05,6.526739e-07,3.966986e-06,0.016113281,0.99999917
0,2,3,0.00012339458,1.0677029e-06,2.392351e-05,-0.4501953,3.2631558e-06
0,2,4,0.0005484792,2.5413503e-06,2.7751648e-05,-0.3552246,6.198028e-13
0,2,5,0.00021654404,3.7266395e-06,8.463938e-06,-0.29833984,1.17018054e-07
0,2,6,9.915273e-05,1.5903379e-06,5.3075077e-05,-0.1586914,1.133501e-11
0,2,7,4.947159e-05,3.6976387e-06,1.568955e-05,-0.076171875,0.27590942
0,2,8,3.3737226e-05,2.2079641e-06,7.3536053e-06,-0.18835449,7.637469e-14
0,2,9,7.141902e-05,5.2144983e-06,2.1112483e-05,-0.08178711,1.0
0,2,10,9.0988404e-05,7.2963794e-06,0.00014883849,-0.04272461,1.0
0,2,11,0.00033274127,3.1137254e-06,0.000117744596,-0.12438965,5.3994967e-08
0,2,12,0.00030061638,2.0948188e-05,0.0002511868,-0.06958008,1.0
0,2,13,5.9673523e-05,2.1907815e-06,3.1446623e-05,-0.0063476562,1.3635772e-16
0,2,14,0.0016678822,2.0948188e-05,6.976471e-05,-0.05041504,0.000101503836
0,2,15,0.0015608892,1.3954599e-05,9.9930316e-05,-0.17224121,0.5690746
0,2,16,0.0029235426,1.7231574e-05,0.0002551414,-0.27441406,1.0832235e-14
0,2,17,0.0030160663,2.8857115e-05,7.543321e-05,-0.024414062,0.01844021
0,2,18,0.0007793662,5.550803e-06,0.00014768039,0.035888672,0.9999988
0,2,19,4.165958e-05,1.6187581e-05,0.00019716941,-0.048706055,1.0
0,2,20,1.41743485e-05,4.5304373e-06,1.6964426e-05,-0.07873535,1.0
0,2,21,1.6314541e-05,4.710909e-06,4.611275e-05,0.083862305,8.818923e-05
0,2,22,7.4263815e-05,1.805852e-05,0.00034734528,0.049438477,1.0379744e-12
0,2,23,0.00022516826,1.2123986e-05,0.00020988309,-0.15856934,0.70161086
0,2,24,0.00028685408,3.024196e-05,0.00013238187,-0.115234375,1.0
0,2,25,1.2805474e-05,2.3503653e-06,1.1212866e-05,-0.14343262,2.4388652e-07
0,2,26,0.00016865277,2.5867432e-05,2.3187478e-05,-0.25341797,1.0
0,2,27,6.0141516e-05,1.6964426e-05,7.4263815e-05,-0.02368164,2.8582128e-17
0,2,28,2.161314e-05,4.9859576e-05,0.0006667023,-0.0793457,1.0
0,2,29,8.029784e-05,0.0001535624,0.0005378764,0.056884766,1.0
0,2,30,0.00032503586,3.0959105e-05,0.0015854306,0.045898438,1.0
0,2,31,9.818327e-06,8.415109e-05,0.0020507434,0.10864258,1.0
0,2,32,3.4197574e-06,1.7778553e-05,4.539787e-05,0.10571289,1.0
0,2,33,1.3631345e-05,5.3075077e-05,0.00026947915,-0.0026855469,1.0
0,2,34,3.0415965e-06,6.8683185e-05,0.0032858332,0.021484375,5.7563933e-11
0,2,35,1.0616134e-05,4.0063693e-05,0.00048029725,-0.13000488,0.999949
0,2,36,0.0005072813,0.00024346048,0.0023596606,0.09436035,3.998099e-06
0,2,37,3.065452e-06,5.2252268e-05,0.0009004467,-0.12084961,0.0030160663
0,2,38,2.753569e-05,0.0005233757,0.0026834398,0.04321289,1.0
0,2,39,1.0699397e-05,9.4612624e-05,0.0035796429,-0.12646484,0.00012731104
0,2,40,2.6016166e-06,0.00025315635,0.0462919,0.05090332,1.0
0,2,41,7.071895e-06,0.00016997529,0.0023688741,0.07409668,1.0
0,2,42,8.547616e-05,8.029784e-05,0.017309098,0.028686523,6.8936106e-07
0,2,43,4.5304373e-06,0.00068250194,0.0063389214,-0.07019043,0.059537485
0,2,44,6.2898785e-06,8.284656e-05,0.0016293088,0.16552734,1.0
0,2,45,0.00011591935,0.00024729344,0.0017409836,0.15844727,3.211657e-21
0,2,46,9.009811e-06,0.00015476662,0.04377274,-0.1862793,1.1677231e-08
0,2,47,3.5008543e-06,0.00013032975,0.0047000605,0.18237305,3.732267e-09
0,2,48,8.220189e-05,0.00047285444,0.012920473,0.3017578,1.3259881e-07
